,Unnamed: 0.1,Unnamed: 0,Competition,Country,Round,Apparatus,Rank,Score,Location,days_till_paris,names,rate_of_change,average_apparatus_rank
37,37,38,2022 51st FIG Artistic Gymnastics World Championships,GBR,TeamFinal,BB,,0.8726114649681529,"Liverpool, England",0.7253121452894438,ONDINE ACHAMPONG,0.017603801053741833,0.0
38,38,39,2022 51st FIG Artistic Gymnastics World Championships,GBR,qual,FX,16.0,0.8492356687898089,"Liverpool, England",0.7253121452894438,ONDINE ACHAMPONG,0.005686664771111176,0.08530510585305108
39,39,40,2022 51st FIG Artistic Gymnastics World Championships,GBR,qual,UB,51.0,0.8173885350318472,"Liverpool, England",0.7253121452894438,ONDINE ACHAMPONG,-0.002594735018512085,0.1267123287671233
40,40,41,2022 51st FIG Artistic Gymnastics World Championships,GBR,TeamFinal,VT,,0.915031847133758,"Liverpool, England",0.7253121452894438,ONDINE ACHAMPONG,0.0007768667720098123,0.0
41,41,42,2022 51st FIG Artistic Gymnastics World Championships,GBR,qual,VT,3.0,0.9214012738853503,"Liverpool, England",0.7253121452894438,ONDINE ACHAMPONG,0.0007768667720098123,0.0
42,42,43,2022 British Gymnastics Championships,GBR,final,BB,4.0,0.8152866242038217,"Liverpool, England",0.9682179341657208,ONDINE ACHAMPONG,0.017603801053741833,0.0
43,43,44,2022 British Gymnastics Championships,GBR,qual,BB,1.0,0.8694267515923567,"Liverpool, England",0.9682179341657208,ONDINE ACHAMPONG,0.017603801053741833,0.0
44,44,45,2022 British Gymnastics Championships,GBR,qual,FX,12.0,0.7961783439490446,"Liverpool, England",0.9682179341657208,ONDINE ACHAMPONG,0.005686664771111176,0.08530510585305108
45,45,46,2022 British Gymnastics Championships,GBR,final,UB,5.0,0.821656050955414,"Liverpool, England",0.9682179341657208,ONDINE ACHAMPONG,-0.002594735018512085,0.1267123287671233
46,46,47,2022 British Gymnastics Championships,GBR,qual,UB,7.0,0.8343949044585988,"Liverpool, England",0.9682179341657208,ONDINE ACHAMPONG,-0.002594735018512085,0.1267123287671233
47,47,48,2022 British Gymnastics Championships,GBR,qual,VT,1.0,0.9076433121019108,"Liverpool, England",0.9682179341657208,ONDINE ACHAMPONG,0.0007768667720098123,0.0
48,48,49,2022 Senior European Championships,GBR,final,BB,2.0,0.8535031847133758,"Munich, Germany",0.7945516458569807,ONDINE ACHAMPONG,0.017603801053741833,0.0
49,49,50,2022 Senior European Championships,GBR,qual,BB,7.0,0.844968152866242,"Munich, Germany",0.7945516458569807,ONDINE ACHAMPONG,0.017603801053741833,0.0
50,50,51,2022 Senior European Championships,GBR,TeamFinal,BB,4.0,0.8726114649681529,"Munich, Germany",0.7945516458569807,ONDINE ACHAMPONG,0.017603801053741833,0.0
51,51,52,2022 Senior European Championships,GBR,qual,FX,25.0,0.8067515923566879,"Munich, Germany",0.7945516458569807,ONDINE ACHAMPONG,0.005686664771111176,0.08530510585305108
52,52,53,2022 Senior European Championships,GBR,qual,UB,43.0,0.779171974522293,"Munich, Germany",0.7945516458569807,ONDINE ACHAMPONG,-0.002594735018512085,0.1267123287671233
53,53,54,2022 Senior European Championships,GBR,TeamFinal,UB,24.0,0.7919108280254777,"Munich, Germany",0.7945516458569807,ONDINE ACHAMPONG,-0.002594735018512085,0.1267123287671233
54,54,55,2022 Senior European Championships,GBR,qual,VT,4.0,0.8874522292993631,"Munich, Germany",0.7945516458569807,ONDINE ACHAMPONG,0.0007768667720098123,0.0
55,55,56,2022 Senior European Championships,GBR,TeamFinal,VT,7.0,0.8853503184713376,"Munich, Germany",0.7945516458569807,ONDINE ACHAMPONG,0.0007768667720098123,0.0
56,56,57,2023 52nd FIG Artistic Gymnastics World Championships,GBR,AAfinal,BB,5.0,0.8662420382165605,"Antwerp, Belgium",0.34506242905788875,ONDINE ACHAMPONG,0.017603801053741833,0.0
57,57,58,2023 52nd FIG Artistic Gymnastics World Championships,GBR,qual,BB,16.0,0.8556050955414013,"Antwerp, Belgium",0.34506242905788875,ONDINE ACHAMPONG,0.017603801053741833,0.0
58,58,59,2023 52nd FIG Artistic Gymnastics World Championships,GBR,TeamFinal,BB,,0.8874522292993631,"Antwerp, Belgium",0.34506242905788875,ONDINE ACHAMPONG,0.017603801053741833,0.0
59,59,60,2023 52nd FIG Artistic Gymnastics World Championships,GBR,AAfinal,FX,17.0,0.8089171974522293,"Antwerp, Belgium",0.34506242905788875,ONDINE ACHAMPONG,0.005686664771111176,0.08530510585305108
60,60,61,2023 52nd FIG Artistic Gymnastics World Championships,GBR,qual,FX,33.0,0.8194904458598726,"Antwerp, Belgium",0.34506242905788875,ONDINE ACHAMPONG,0.005686664771111176,0.08530510585305108
61,61,62,2023 52nd FIG Artistic Gymnastics World Championships,GBR,AAfinal,UB,20.0,0.7982802547770701,"Antwerp, Belgium",0.34506242905788875,ONDINE ACHAMPONG,-0.002594735018512085,0.1267123287671233
62,62,63,2023 52nd FIG Artistic Gymnastics World Championships,GBR,qual,UB,56.0,0.8110191082802548,"Antwerp, Belgium",0.34506242905788875,ONDINE ACHAMPONG,-0.002594735018512085,0.1267123287671233
63,63,64,2023 52nd FIG Artistic Gymnastics World Championships,GBR,AAfinal,VT,4.0,0.9001910828025478,"Antwerp, Belgium",0.34506242905788875,ONDINE ACHAMPONG,0.0007768667720098123,0.0
64,64,65,2023 52nd FIG Artistic Gymnastics World Championships,GBR,TeamFinal,VT,,0.9022929936305734,"Antwerp, Belgium",0.34506242905788875,ONDINE ACHAMPONG,0.0007768667720098123,0.0
65,65,66,2023 52nd FIG Artistic Gymnastics World Championships,GBR,qual,VT,9.0,0.9108280254777071,"Antwerp, Belgium",0.34506242905788875,ONDINE ACHAMPONG,0.0007768667720098123,0.0
66,66,67,2023 British Gymnastics Championships,GBR,final,BB,1.0,0.8789808917197454,"Liverpool, England",0.5539160045402951,ONDINE ACHAMPONG,0.017603801053741833,0.0
67,67,68,2023 British Gymnastics Championships,GBR,qual,BB,2.0,0.8789808917197454,"Liverpool, England",0.5539160045402951,ONDINE ACHAMPONG,0.017603801053741833,0.0
68,68,69,2023 British Gymnastics Championships,GBR,final,FX,8.0,0.7611464968152866,"Liverpool, England",0.5539160045402951,ONDINE ACHAMPONG,0.005686664771111176,0.08530510585305108
69,69,70,2023 British Gymnastics Championships,GBR,qual,FX,4.0,0.8407643312101911,"Liverpool, England",0.5539160045402951,ONDINE ACHAMPONG,0.005686664771111176,0.08530510585305108
70,70,71,2023 British Gymnastics Championships,GBR,final,UB,5.0,0.8980891719745223,"Liverpool, England",0.5539160045402951,ONDINE ACHAMPONG,-0.002594735018512085,0.1267123287671233
71,71,72,2023 British Gymnastics Championships,GBR,qual,UB,2.0,0.8726114649681529,"Liverpool, England",0.5539160045402951,ONDINE ACHAMPONG,-0.002594735018512085,0.1267123287671233
72,72,73,2023 British Gymnastics Championships,GBR,qual,VT,16.0,0.9108280254777071,"Liverpool, England",0.5539160045402951,ONDINE ACHAMPONG,0.0007768667720098123,0.0
73,73,74,2023 Senior European Championships,GBR,final,BB,4.0,0.8619745222929937,"Antalya, Turkey",0.5187287173666288,ONDINE ACHAMPONG,0.017603801053741833,0.0
74,74,75,2023 Senior European Championships,GBR,qual,BB,4.0,0.8513375796178344,"Antalya, Turkey",0.5187287173666288,ONDINE ACHAMPONG,0.017603801053741833,0.0
75,75,76,2023 Senior European Championships,GBR,qual,FX,8.0,0.8385987261146497,"Antalya, Turkey",0.5187287173666288,ONDINE ACHAMPONG,0.005686664771111176,0.08530510585305108
76,76,77,2023 Senior European Championships,GBR,qual,VT,6.0,0.8895541401273885,"Antalya, Turkey",0.5187287173666288,ONDINE ACHAMPONG,0.0007768667720098123,0.0
77,77,78,BIRMINGHAM 2022 Commonwealth Games,ENG,AAfinal,BB,4.0,0.7961783439490446,"Birmingham, England",0.8297389330306469,ONDINE ACHAMPONG,0.017603801053741833,0.0
78,78,79,BIRMINGHAM 2022 Commonwealth Games,ENG,qual,BB,4.0,0.8471337579617835,"Birmingham, England",0.8297389330306469,ONDINE ACHAMPONG,0.017603801053741833,0.0
79,79,80,BIRMINGHAM 2022 Commonwealth Games,ENG,AAfinal,FX,1.0,0.8503184713375797,"Birmingham, England",0.8297389330306469,ONDINE ACHAMPONG,0.005686664771111176,0.08530510585305108
80,80,81,BIRMINGHAM 2022 Commonwealth Games,ENG,final,FX,2.0,0.8301273885350319,"Birmingham, England",0.8297389330306469,ONDINE ACHAMPONG,0.005686664771111176,0.08530510585305108
81,81,82,BIRMINGHAM 2022 Commonwealth Games,ENG,qual,FX,11.0,0.7993630573248408,"Birmingham, England",0.8297389330306469,ONDINE ACHAMPONG,0.005686664771111176,0.08530510585305108
82,82,83,BIRMINGHAM 2022 Commonwealth Games,ENG,AAfinal,UB,3.0,0.8439490445859873,"Birmingham, England",0.8297389330306469,ONDINE ACHAMPONG,-0.002594735018512085,0.1267123287671233
83,83,84,BIRMINGHAM 2022 Commonwealth Games,ENG,final,UB,4.0,0.8556050955414013,"Birmingham, England",0.8297389330306469,ONDINE ACHAMPONG,-0.002594735018512085,0.1267123287671233
84,84,85,BIRMINGHAM 2022 Commonwealth Games,ENG,qual,UB,2.0,0.8757961783439491,"Birmingham, England",0.8297389330306469,ONDINE ACHAMPONG,-0.002594735018512085,0.1267123287671233
85,85,86,BIRMINGHAM 2022 Commonwealth Games,ENG,AAfinal,VT,1.0,0.8853503184713376,"Birmingham, England",0.8297389330306469,ONDINE ACHAMPONG,0.0007768667720098123,0.0
86,86,87,2022 Osijek World Challenge Cup,CHI,qual,FX,13.0,0.760063694267516,"Osijek, Croatia",0.8637911464245176,BARBARA ACHONDO ANDINO,0.012260776200548482,0.0
87,87,88,2023 Artistic Gymnastics Senior Pan American Championships,CHI,TeamQual,BB,,0.6963694267515924,"Medellin, Colombia",0.48467650397275824,BARBARA ACHONDO ANDINO,0.0055751615403053754,0.0
88,88,89,2023 Artistic Gymnastics Senior Pan American Championships,CHI,TeamQual,FX,,0.7834394904458599,"Medellin, Colombia",0.48467650397275824,BARBARA ACHONDO ANDINO,0.012260776200548482,0.0
89,89,90,2023 Artistic Gymnastics Senior Pan American Championships,CHI,TeamQual,UB,,0.6836305732484077,"Medellin, Colombia",0.48467650397275824,BARBARA ACHONDO ANDINO,0.03902613078213934,0.0
90,90,91,SANTIAGO 2023 XIX Pan American Games,CHI,AAfinal,BB,17.0,0.7070063694267515,"Santiago, Chile",0.31101021566401815,BARBARA ACHONDO ANDINO,0.0055751615403053754,0.0
91,91,92,SANTIAGO 2023 XIX Pan American Games,CHI,qual,BB,31.0,0.7027388535031847,"Santiago, Chile",0.31101021566401815,BARBARA ACHONDO ANDINO,0.0055751615403053754,0.0
92,92,93,SANTIAGO 2023 XIX Pan American Games,CHI,AAfinal,FX,10.0,0.7855414012738854,"Santiago, Chile",0.31101021566401815,BARBARA ACHONDO ANDINO,0.012260776200548482,0.0
93,93,94,SANTIAGO 2023 XIX Pan American Games,CHI,final,FX,8.0,0.7770700636942675,"Santiago, Chile",0.31101021566401815,BARBARA ACHONDO ANDINO,0.012260776200548482,0.0
94,94,95,SANTIAGO 2023 XIX Pan American Games,CHI,qual,FX,10.0,0.8046496815286625,"Santiago, Chile",0.31101021566401815,BARBARA ACHONDO ANDINO,0.012260776200548482,0.0
95,95,96,SANTIAGO 2023 XIX Pan American Games,CHI,AAfinal,UB,24.0,0.5264968152866242,"Santiago, Chile",0.31101021566401815,BARBARA ACHONDO ANDINO,0.03902613078213934,0.0
96,96,97,SANTIAGO 2023 XIX Pan American Games,CHI,qual,UB,26.0,0.7282165605095542,"Santiago, Chile",0.31101021566401815,BARBARA ACHONDO ANDINO,0.03902613078213934,0.0
97,97,98,SANTIAGO 2023 XIX Pan American Games,CHI,AAfinal,VT,24.0,0.7261146496815287,"Santiago, Chile",0.31101021566401815,BARBARA ACHONDO ANDINO,0.0,0.2363013698630137
98,98,99,SANTIAGO 2023 XIX Pan American Games,CHI,qual,VT,45.0,0.7239490445859873,"Santiago, Chile",0.31101021566401815,BARBARA ACHONDO ANDINO,0.0,0.2363013698630137
99,99,100,2022 51st FIG Artistic Gymnastics World Championships,ISL,qual,BB,69.0,0.7388535031847134,"Liverpool, England",0.7253121452894438,THELMA ADALSTEINSDOTTIR,-0.002154039686026728,0.3938356164383562
100,100,101,2022 51st FIG Artistic Gymnastics World Championships,ISL,qual,FX,127.0,0.7282165605095542,"Liverpool, England",0.7253121452894438,THELMA ADALSTEINSDOTTIR,0.02944572250799148,0.613013698630137
101,101,102,2022 51st FIG Artistic Gymnastics World Championships,ISL,qual,UB,108.0,0.7027388535031847,"Liverpool, England",0.7253121452894438,THELMA ADALSTEINSDOTTIR,0.009326991840497302,0.5102739726027398
102,102,103,2022 51st FIG Artistic Gymnastics World Championships,ISL,qual,VT,126.0,0.7685350318471338,"Liverpool, England",0.7253121452894438,THELMA ADALSTEINSDOTTIR,-0.0007108330963889567,0.7054794520547946
103,103,104,2022 Senior European Championships,ISL,qual,BB,35.0,0.779171974522293,"Munich, Germany",0.7945516458569807,THELMA ADALSTEINSDOTTIR,-0.002154039686026728,0.3938356164383562
104,104,105,2022 Senior European Championships,ISL,qual,FX,91.0,0.709108280254777,"Munich, Germany",0.7945516458569807,THELMA ADALSTEINSDOTTIR,0.02944572250799148,0.613013698630137
105,105,106,2022 Senior European Championships,ISL,qual,UB,57.0,0.7473248407643313,"Munich, Germany",0.7945516458569807,THELMA ADALSTEINSDOTTIR,0.009326991840497302,0.5102739726027398
106,106,107,2022 Senior European Championships,ISL,qual,VT,69.0,0.7855414012738854,"Munich, Germany",0.7945516458569807,THELMA ADALSTEINSDOTTIR,-0.0007108330963889567,0.7054794520547946
107,107,108,2023 52nd FIG Artistic Gymnastics World Championships,ISL,qual,BB,69.0,0.7728025477707006,"Antwerp, Belgium",0.34506242905788875,THELMA ADALSTEINSDOTTIR,-0.002154039686026728,0.3938356164383562
108,108,109,2023 52nd FIG Artistic Gymnastics World Championships,ISL,qual,FX,62.0,0.7961783439490446,"Antwerp, Belgium",0.34506242905788875,THELMA ADALSTEINSDOTTIR,0.02944572250799148,0.613013698630137
109,109,110,2023 52nd FIG Artistic Gymnastics World Championships,ISL,qual,UB,79.0,0.7749044585987261,"Antwerp, Belgium",0.34506242905788875,THELMA ADALSTEINSDOTTIR,0.009326991840497302,0.5102739726027398
110,110,111,2023 52nd FIG Artistic Gymnastics World Championships,ISL,qual,VT,135.0,0.7834394904458599,"Antwerp, Belgium",0.34506242905788875,THELMA ADALSTEINSDOTTIR,-0.0007108330963889567,0.7054794520547946
111,111,112,2023 Senior European Championships,ISL,qual,BB,57.0,0.7112101910828026,"Antalya, Turkey",0.5187287173666288,THELMA ADALSTEINSDOTTIR,-0.002154039686026728,0.3938356164383562
112,112,113,2023 Senior European Championships,ISL,qual,FX,78.0,0.736687898089172,"Antalya, Turkey",0.5187287173666288,THELMA ADALSTEINSDOTTIR,0.02944572250799148,0.613013698630137
113,113,114,2023 Senior European Championships,ISL,qual,UB,54.0,0.779171974522293,"Antalya, Turkey",0.5187287173666288,THELMA ADALSTEINSDOTTIR,0.009326991840497302,0.5102739726027398
114,114,115,2023 Senior European Championships,ISL,qual,VT,82.0,0.7834394904458599,"Antalya, Turkey",0.5187287173666288,THELMA ADALSTEINSDOTTIR,-0.0007108330963889567,0.7054794520547946
115,115,116,2022 British Gymnastics Championships,GBR,qual,BB,54.0,0.6178343949044586,"Liverpool, England",0.9682179341657208,JESS ADAMSON,0.0,0.3698630136986301
116,116,117,2022 British Gymnastics Championships,GBR,qual,FX,52.0,0.6656050955414012,"Liverpool, England",0.9682179341657208,JESS ADAMSON,0.0,0.3561643835616438
117,117,118,2022 British Gymnastics Championships,GBR,qual,UB,24.0,0.7197452229299364,"Liverpool, England",0.9682179341657208,JESS ADAMSON,0.0,0.1643835616438356
118,118,119,2022 British Gymnastics Championships,GBR,qual,VT,44.0,0.7643312101910829,"Liverpool, England",0.9682179341657208,JESS ADAMSON,0.0,0.3013698630136986
119,119,120,2023 Artistic Gymnastics Senior Pan American Championships,DOM,TeamQual,VT,,0.7664331210191083,"Medellin, Colombia",0.48467650397275824,NASHELY ESMERALDA ALBA RODRIGUEZ,0.0,0.0
120,120,121,2023 Cairo World Cup,JOR,qual,VT,23.0,0.7515923566878981,"Cairo, Egypt",0.5187287173666288,RUBA ALDAOUD,0.0,0.15753424657534246
121,121,122,2023 Cairo World Cup,JOR,qual,VT,23.0,0.647515923566879,"Cairo, Egypt",0.5187287173666288,RUBA ALDAOUD,0.0,0.15753424657534246
122,122,123,SANTIAGO 2023 XIX Pan American Games,PUR,qual,BB,48.0,0.5477707006369427,"Santiago, Chile",0.31101021566401815,KATYNA ALICEA,0.0,0.3287671232876712
123,123,124,2023 Artistic Gymnastics Senior Pan American Championships,PUR,TeamFinal,FX,,0.7197452229299364,"Medellin, Colombia",0.48467650397275824,KATYNA KAMILA ALICEA CARDONA,0.0,0.0
124,124,125,2023 Artistic Gymnastics Senior Pan American Championships,PUR,TeamQual,FX,,0.7154777070063695,"Medellin, Colombia",0.48467650397275824,KATYNA KAMILA ALICEA CARDONA,0.0,0.0
125,125,126,2023 Artistic Gymnastics Senior Pan American Championships,PUR,TeamFinal,UB,,0.6624203821656052,"Medellin, Colombia",0.48467650397275824,KATYNA KAMILA ALICEA CARDONA,0.0,0.0
126,126,127,2023 Artistic Gymnastics Senior Pan American Championships,PUR,TeamFinal,VT,,0.7176433121019108,"Medellin, Colombia",0.48467650397275824,KATYNA KAMILA ALICEA CARDONA,0.0,0.0
127,127,128,2022 U.S. Championships,USA,qual,BB,,0.8662420382165605,"Tampa, FL",0.7945516458569807,CIENA ALIPIO,0.08011599539411518,0.0
128,128,129,2022 U.S. Championships,USA,final,BB,,0.8885350318471338,"Tampa, FL",0.7945516458569807,CIENA ALIPIO,0.08011599539411518,0.0
129,129,130,2022 U.S. Championships,USA,qual,FX,,0.7611464968152866,"Tampa, FL",0.7945516458569807,CIENA ALIPIO,-0.0235635280570927,0.0
130,130,131,2022 U.S. Championships,USA,final,FX,,0.7229299363057325,"Tampa, FL",0.7945516458569807,CIENA ALIPIO,-0.0235635280570927,0.0
131,131,132,2022 U.S. Championships,USA,qual,UB,,0.7866242038216561,"Tampa, FL",0.7945516458569807,CIENA ALIPIO,-0.021207175251383003,0.0
132,132,133,2022 U.S. Championships,USA,final,UB,,0.7929936305732485,"Tampa, FL",0.7945516458569807,CIENA ALIPIO,-0.021207175251383003,0.0
133,133,134,2022 U.S. Championships,USA,qual,VT,,0.7611464968152866,"Tampa, FL",0.7945516458569807,CIENA ALIPIO,0.0,0.0
134,134,135,2022 U.S. Championships,USA,final,VT,,0.8407643312101911,"Tampa, FL",0.7945516458569807,CIENA ALIPIO,0.0,0.0
139,139,140,2022 Winter Cup,USA,AAfinal,BB,17.0,0.7802547770700637,"Frisco, Texas",1.0,CIENA ALIPIO,0.08011599539411518,0.0
140,140,141,2022 Winter Cup,USA,AAfinal,FX,19.0,0.7547770700636943,"Frisco, Texas",1.0,CIENA ALIPIO,-0.0235635280570927,0.0
141,141,142,2022 Winter Cup,USA,AAfinal,UB,11.0,0.821656050955414,"Frisco, Texas",1.0,CIENA ALIPIO,-0.021207175251383003,0.0
142,142,143,2022 Winter Cup,USA,AAfinal,VT,,0.8407643312101911,"Frisco, Texas",1.0,CIENA ALIPIO,0.0,0.0
143,143,144,SANTIAGO 2023 XIX Pan American Games,PUR,qual,BB,22.0,0.736687898089172,"Santiago, Chile",0.31101021566401815,ALEJANDRA ALVAREZ DIAZ,0.0,0.1506849315068493
144,144,145,SANTIAGO 2023 XIX Pan American Games,PUR,qual,FX,44.0,0.6624203821656052,"Santiago, Chile",0.31101021566401815,ALEJANDRA ALVAREZ DIAZ,0.0,0.3013698630136986
145,145,146,SANTIAGO 2023 XIX Pan American Games,PUR,qual,UB,37.0,0.6963694267515924,"Santiago, Chile",0.31101021566401815,ALEJANDRA ALVAREZ DIAZ,0.0,0.2534246575342466
146,146,147,SANTIAGO 2023 XIX Pan American Games,PUR,AAfinal,BB,24.0,0.5817197452229299,"Santiago, Chile",0.31101021566401815,ALEJANDRA SOFIA ALVAREZ DIAZ,0.0,0.1643835616438356
147,147,148,SANTIAGO 2023 XIX Pan American Games,PUR,AAfinal,FX,23.0,0.717579617834395,"Santiago, Chile",0.31101021566401815,ALEJANDRA SOFIA ALVAREZ DIAZ,0.0,0.15753424657534246
148,148,149,SANTIAGO 2023 XIX Pan American Games,PUR,AAfinal,UB,21.0,0.6751592356687898,"Santiago, Chile",0.31101021566401815,ALEJANDRA SOFIA ALVAREZ DIAZ,0.0,0.14383561643835616
