Unnamed: 0.1,Unnamed: 0,Competition,Country,Round,Apparatus,Rank,Score,days_till_paris,names,rate_of_change
802,803,2022 U.S. Championships,USA,final,BB,,12.95,700,SKYE BLAKELY,-0.0028318890814558
803,804,2022 U.S. Championships,USA,qual,FX,,13.3,700,SKYE BLAKELY,-0.0019230769230769
804,805,2022 U.S. Championships,USA,final,FX,,13.45,700,SKYE BLAKELY,-0.0019230769230769
805,806,2022 U.S. Championships,USA,qual,UB,,13.85,700,SKYE BLAKELY,0.0017608318890814
806,807,2022 U.S. Championships,USA,final,UB,,13.9,700,SKYE BLAKELY,0.0017608318890814
807,808,2022 U.S. Championships,USA,qual,VT,,14.1,700,SKYE BLAKELY,0.0008241758241758
808,809,2022 U.S. Championships,USA,final,VT,,14.3,700,SKYE BLAKELY,0.0008241758241758
809,810,2022 Winter Cup,USA,AAfinal,BB,3.0,13.5,881,SKYE BLAKELY,-0.0028318890814558
810,811,2022 Winter Cup,USA,AAfinal,FX,2.0,13.25,881,SKYE BLAKELY,-0.0019230769230769
811,812,2022 Winter Cup,USA,AAfinal,UB,7.0,13.15,881,SKYE BLAKELY,0.0017608318890814
812,813,2022 Winter Cup,USA,AAfinal,VT,,13.8,881,SKYE BLAKELY,0.0008241758241758
813,814,2023 52nd FIG Artistic Gymnastics World Championships,USA,qual,BB,92.0,11.866,304,SKYE BLAKELY,-0.0028318890814558
814,815,2023 52nd FIG Artistic Gymnastics World Championships,USA,qual,UB,8.0,14.133,304,SKYE BLAKELY,0.0017608318890814
815,816,2023 52nd FIG Artistic Gymnastics World Championships,USA,TeamFinal,UB,,14.166,304,SKYE BLAKELY,0.0017608318890814
816,817,2023 Core Hydration Classic,USA,AAfinal,BB,3.0,14.3,335,SKYE BLAKELY,-0.0028318890814558
817,818,2023 Core Hydration Classic,USA,AAfinal,UB,2.0,14.35,335,SKYE BLAKELY,0.0017608318890814
818,819,2023 Core Hydration Classic,USA,AAfinal,VT,,14.1,335,SKYE BLAKELY,0.0008241758241758
819,820,2023 U.S. Championships,USA,qual,BB,,14.05,335,SKYE BLAKELY,-0.0028318890814558
820,821,2023 U.S. Championships,USA,final,BB,,14.2,335,SKYE BLAKELY,-0.0028318890814558
821,822,2023 U.S. Championships,USA,qual,FX,,12.9,335,SKYE BLAKELY,-0.0019230769230769
822,823,2023 U.S. Championships,USA,final,FX,,12.2,335,SKYE BLAKELY,-0.0019230769230769
823,824,2023 U.S. Championships,USA,qual,UB,,14.4,335,SKYE BLAKELY,0.0017608318890814
824,825,2023 U.S. Championships,USA,final,UB,,14.4,335,SKYE BLAKELY,0.0017608318890814
825,826,2023 U.S. Championships,USA,qual,VT,,14.35,335,SKYE BLAKELY,0.0008241758241758
826,827,2023 U.S. Championships,USA,final,VT,,14.25,335,SKYE BLAKELY,0.0008241758241758
827,828,2023 Winter Cup,USA,AAfinal,BB,1.0,13.4,516,SKYE BLAKELY,-0.0028318890814558
828,829,2023 Winter Cup,USA,AAfinal,UB,8.0,13.15,516,SKYE BLAKELY,0.0017608318890814
858,859,2022 U.S. Championships,USA,qual,BB,,12.7,700,CHARLOTTE BOOTH,0.0012820512820512
859,860,2022 U.S. Championships,USA,final,BB,,12.35,700,CHARLOTTE BOOTH,0.0012820512820512
860,861,2022 U.S. Championships,USA,qual,FX,,12.1,700,CHARLOTTE BOOTH,-0.0016483516483516
861,862,2022 U.S. Championships,USA,final,FX,,12.15,700,CHARLOTTE BOOTH,-0.0016483516483516
862,863,2022 U.S. Championships,USA,qual,UB,,12.3,700,CHARLOTTE BOOTH,0.0012820512820512
863,864,2022 U.S. Championships,USA,final,UB,,13.4,700,CHARLOTTE BOOTH,0.0012820512820512
864,865,2022 U.S. Championships,USA,qual,VT,,13.5,700,CHARLOTTE BOOTH,-0.0005494505494505
865,866,2022 U.S. Championships,USA,final,VT,,13.6,700,CHARLOTTE BOOTH,-0.0005494505494505
866,867,2022 U.S. Classic,USA,AAfinal,BB,9.0,11.7,731,CHARLOTTE BOOTH,0.0012820512820512
867,868,2022 U.S. Classic,USA,AAfinal,UB,3.0,13.4,731,CHARLOTTE BOOTH,0.0012820512820512
868,869,2022 Winter Cup,USA,AAfinal,BB,24.0,10.6,881,CHARLOTTE BOOTH,0.0012820512820512
869,870,2022 Winter Cup,USA,AAfinal,FX,18.0,12.1,881,CHARLOTTE BOOTH,-0.0016483516483516
870,871,2022 Winter Cup,USA,AAfinal,UB,15.0,12.65,881,CHARLOTTE BOOTH,0.0012820512820512
871,872,2022 Winter Cup,USA,AAfinal,VT,,13.7,881,CHARLOTTE BOOTH,-0.0005494505494505
872,873,2023 Core Hydration Classic,USA,AAfinal,BB,22.0,11.8,335,CHARLOTTE BOOTH,0.0012820512820512
873,874,2023 Core Hydration Classic,USA,AAfinal,FX,11.0,12.8,335,CHARLOTTE BOOTH,-0.0016483516483516
874,875,2023 Core Hydration Classic,USA,AAfinal,UB,9.0,13.65,335,CHARLOTTE BOOTH,0.0012820512820512
875,876,2023 Core Hydration Classic,USA,AAfinal,VT,,13.7,335,CHARLOTTE BOOTH,-0.0005494505494505
876,877,2023 U.S. Championships,USA,qual,BB,,12.5,335,CHARLOTTE BOOTH,0.0012820512820512
877,878,2023 U.S. Championships,USA,final,BB,,11.3,335,CHARLOTTE BOOTH,0.0012820512820512
878,879,2023 U.S. Championships,USA,qual,FX,,12.5,335,CHARLOTTE BOOTH,-0.0016483516483516
879,880,2023 U.S. Championships,USA,final,FX,,11.2,335,CHARLOTTE BOOTH,-0.0016483516483516
880,881,2023 U.S. Championships,USA,qual,UB,,13.1,335,CHARLOTTE BOOTH,0.0012820512820512
881,882,2023 U.S. Championships,USA,final,UB,,13.35,335,CHARLOTTE BOOTH,0.0012820512820512
882,883,2023 U.S. Championships,USA,qual,VT,,13.6,335,CHARLOTTE BOOTH,-0.0005494505494505
883,884,2023 U.S. Championships,USA,final,VT,,13.4,335,CHARLOTTE BOOTH,-0.0005494505494505
884,885,2023 Winter Cup,USA,AAfinal,BB,12.0,12.05,516,CHARLOTTE BOOTH,0.0012820512820512
885,886,2023 Winter Cup,USA,AAfinal,FX,22.0,11.75,516,CHARLOTTE BOOTH,-0.0016483516483516
886,887,2023 Winter Cup,USA,AAfinal,UB,2.0,13.75,516,CHARLOTTE BOOTH,0.0012820512820512
887,888,2023 Winter Cup,USA,AAfinal,VT,,13.55,516,CHARLOTTE BOOTH,-0.0005494505494505
1101,1102,2022 51st FIG Artistic Gymnastics World Championships,USA,AAfinal,BB,11.0,12.633,639,JADE CAREY,-0.0031506849315068
1102,1103,2022 51st FIG Artistic Gymnastics World Championships,USA,qual,BB,11.0,13.133,639,JADE CAREY,-0.0031506849315068
1103,1104,2022 51st FIG Artistic Gymnastics World Championships,USA,TeamFinal,BB,,12.8,639,JADE CAREY,-0.0031506849315068
1104,1105,2022 51st FIG Artistic Gymnastics World Championships,USA,AAfinal,FX,3.0,14.166,639,JADE CAREY,-0.0026027397260274
1105,1106,2022 51st FIG Artistic Gymnastics World Championships,USA,final,FX,3.0,13.733,639,JADE CAREY,-0.0026027397260274
1106,1107,2022 51st FIG Artistic Gymnastics World Championships,USA,qual,FX,5.0,14.066,639,JADE CAREY,-0.0026027397260274
1107,1108,2022 51st FIG Artistic Gymnastics World Championships,USA,TeamFinal,FX,,14.1,639,JADE CAREY,-0.0026027397260274
1108,1109,2022 51st FIG Artistic Gymnastics World Championships,USA,AAfinal,UB,15.0,13.166,639,JADE CAREY,-0.000958904109589
1109,1110,2022 51st FIG Artistic Gymnastics World Championships,USA,qual,UB,32.0,13.333,639,JADE CAREY,-0.000958904109589
1110,1111,2022 51st FIG Artistic Gymnastics World Championships,USA,AAfinal,VT,2.0,14.733,639,JADE CAREY,-0.0006849315068493
1111,1112,2022 51st FIG Artistic Gymnastics World Championships,USA,TeamFinal,VT,,14.8,639,JADE CAREY,-0.0006849315068493
1112,1113,2022 51st FIG Artistic Gymnastics World Championships,USA,final,VT,1.0,14.733,639,JADE CAREY,-0.0006849315068493
1113,1114,2022 51st FIG Artistic Gymnastics World Championships,USA,qual,VT,2.0,14.6,639,JADE CAREY,-0.0006849315068493
1114,1115,2022 51st FIG Artistic Gymnastics World Championships,USA,qual,VT,1.0,14.6,639,JADE CAREY,-0.0006849315068493
1115,1116,2022 51st FIG Artistic Gymnastics World Championships,USA,final,VT,1.0,14.3,639,JADE CAREY,-0.0006849315068493
1116,1117,2022 51st FIG Artistic Gymnastics World Championships,USA,qual,VT,1.0,14.366,639,JADE CAREY,-0.0006849315068493
1117,1118,2022 Paris World Challenge Cup,USA,final,BB,2.0,13.75,669,JADE CAREY,-0.0031506849315068
1118,1119,2022 Paris World Challenge Cup,USA,qual,BB,2.0,13.4,669,JADE CAREY,-0.0031506849315068
1119,1120,2022 Paris World Challenge Cup,USA,final,VT,1.0,14.75,669,JADE CAREY,-0.0006849315068493
1120,1121,2022 Paris World Challenge Cup,USA,qual,VT,1.0,14.55,669,JADE CAREY,-0.0006849315068493
1121,1122,2022 Paris World Challenge Cup,USA,final,VT,1.0,14.0,669,JADE CAREY,-0.0006849315068493
1122,1123,2022 Paris World Challenge Cup,USA,qual,VT,1.0,14.15,669,JADE CAREY,-0.0006849315068493
1123,1124,2022 U.S. Championships,USA,qual,BB,,13.2,700,JADE CAREY,-0.0031506849315068
1124,1125,2022 U.S. Championships,USA,final,BB,,13.3,700,JADE CAREY,-0.0031506849315068
1125,1126,2022 U.S. Championships,USA,qual,FX,,14.05,700,JADE CAREY,-0.0026027397260274
1126,1127,2022 U.S. Championships,USA,final,FX,,13.85,700,JADE CAREY,-0.0026027397260274
1127,1128,2022 U.S. Championships,USA,qual,UB,,13.6,700,JADE CAREY,-0.000958904109589
1128,1129,2022 U.S. Championships,USA,final,UB,,13.45,700,JADE CAREY,-0.000958904109589
1129,1130,2022 U.S. Championships,USA,qual,VT,,14.8,700,JADE CAREY,-0.0006849315068493
1130,1131,2022 U.S. Championships,USA,final,VT,,14.65,700,JADE CAREY,-0.0006849315068493
1131,1132,2023 Core Hydration Classic,USA,AAfinal,BB,9.0,13.0,335,JADE CAREY,-0.0031506849315068
1132,1133,2023 U.S. Championships,USA,qual,BB,,12.15,335,JADE CAREY,-0.0031506849315068
1133,1134,2023 U.S. Championships,USA,final,BB,,12.05,335,JADE CAREY,-0.0031506849315068
1134,1135,2023 U.S. Championships,USA,qual,FX,,13.35,335,JADE CAREY,-0.0026027397260274
1135,1136,2023 U.S. Championships,USA,final,FX,,13.1,335,JADE CAREY,-0.0026027397260274
1136,1137,2023 U.S. Championships,USA,qual,UB,,12.05,335,JADE CAREY,-0.000958904109589
1137,1138,2023 U.S. Championships,USA,final,UB,,13.25,335,JADE CAREY,-0.000958904109589
1138,1139,2023 U.S. Championships,USA,qual,VT,,13.95,335,JADE CAREY,-0.0006849315068493
1139,1140,2023 U.S. Championships,USA,final,VT,,14.55,335,JADE CAREY,-0.0006849315068493
1206,1207,2023 Core Hydration Classic,USA,AAfinal,BB,16.0,12.7,335,DULCY CAYLOR,0.0024861878453038
1207,1208,2023 Core Hydration Classic,USA,AAfinal,FX,12.0,12.65,335,DULCY CAYLOR,0.0049723756906077
1208,1209,2023 Core Hydration Classic,USA,AAfinal,UB,16.0,12.9,335,DULCY CAYLOR,-0.0033149171270718
1209,1210,2023 Core Hydration Classic,USA,AAfinal,VT,,13.7,335,DULCY CAYLOR,0.0011049723756906
1210,1211,2023 U.S. Championships,USA,qual,BB,,12.2,335,DULCY CAYLOR,0.0024861878453038
1211,1212,2023 U.S. Championships,USA,final,BB,,12.4,335,DULCY CAYLOR,0.0024861878453038
1212,1213,2023 U.S. Championships,USA,qual,FX,,12.9,335,DULCY CAYLOR,0.0049723756906077
1213,1214,2023 U.S. Championships,USA,final,FX,,12.75,335,DULCY CAYLOR,0.0049723756906077
1214,1215,2023 U.S. Championships,USA,qual,UB,,12.0,335,DULCY CAYLOR,-0.0033149171270718
1215,1216,2023 U.S. Championships,USA,final,UB,,12.75,335,DULCY CAYLOR,-0.0033149171270718
1216,1217,2023 U.S. Championships,USA,qual,VT,,13.9,335,DULCY CAYLOR,0.0011049723756906
1217,1218,2023 U.S. Championships,USA,final,VT,,13.6,335,DULCY CAYLOR,0.0011049723756906
1218,1219,2023 Winter Cup,USA,AAfinal,BB,13.0,11.95,516,DULCY CAYLOR,0.0024861878453038
1219,1220,2023 Winter Cup,USA,AAfinal,FX,20.0,11.85,516,DULCY CAYLOR,0.0049723756906077
1220,1221,2023 Winter Cup,USA,AAfinal,UB,7.0,13.35,516,DULCY CAYLOR,-0.0033149171270718
1221,1222,2023 Winter Cup,USA,AAfinal,VT,,13.4,516,DULCY CAYLOR,0.0011049723756906
1282,1283,2022 51st FIG Artistic Gymnastics World Championships,USA,qual,BB,83.0,11.366,639,JORDAN CHILES,-0.0014084507042253
1283,1284,2022 51st FIG Artistic Gymnastics World Championships,USA,TeamFinal,BB,,13.333,639,JORDAN CHILES,-0.0014084507042253
1284,1285,2022 51st FIG Artistic Gymnastics World Championships,USA,final,FX,2.0,13.833,639,JORDAN CHILES,-0.0017605633802816
1285,1286,2022 51st FIG Artistic Gymnastics World Championships,USA,qual,FX,4.0,14.1,639,JORDAN CHILES,-0.0017605633802816
1286,1287,2022 51st FIG Artistic Gymnastics World Championships,USA,TeamFinal,FX,,14.0,639,JORDAN CHILES,-0.0017605633802816
1287,1288,2022 51st FIG Artistic Gymnastics World Championships,USA,qual,UB,18.0,14.066,639,JORDAN CHILES,-0.0003521126760563
1288,1289,2022 51st FIG Artistic Gymnastics World Championships,USA,TeamFinal,UB,,14.1,639,JORDAN CHILES,-0.0003521126760563
1289,1290,2022 51st FIG Artistic Gymnastics World Championships,USA,TeamFinal,VT,,14.4,639,JORDAN CHILES,-0.0012136150234741
1290,1291,2022 51st FIG Artistic Gymnastics World Championships,USA,final,VT,2.0,14.5,639,JORDAN CHILES,-0.0012136150234741
1291,1292,2022 51st FIG Artistic Gymnastics World Championships,USA,qual,VT,3.0,14.466,639,JORDAN CHILES,-0.0012136150234741
1292,1293,2022 51st FIG Artistic Gymnastics World Championships,USA,qual,VT,2.0,14.466,639,JORDAN CHILES,-0.0012136150234741
1293,1294,2022 51st FIG Artistic Gymnastics World Championships,USA,final,VT,2.0,14.2,639,JORDAN CHILES,-0.0012136150234741
1294,1295,2022 51st FIG Artistic Gymnastics World Championships,USA,qual,VT,2.0,14.166,639,JORDAN CHILES,-0.0012136150234741
1295,1296,2022 Paris World Challenge Cup,USA,final,FX,1.0,14.05,669,JORDAN CHILES,-0.0017605633802816
1296,1297,2022 Paris World Challenge Cup,USA,qual,FX,2.0,13.5,669,JORDAN CHILES,-0.0017605633802816
1297,1298,2022 Paris World Challenge Cup,USA,final,UB,5.0,13.75,669,JORDAN CHILES,-0.0003521126760563
1298,1299,2022 Paris World Challenge Cup,USA,qual,UB,6.0,13.4,669,JORDAN CHILES,-0.0003521126760563
1299,1300,2022 Paris World Challenge Cup,USA,final,VT,2.0,14.15,669,JORDAN CHILES,-0.0012136150234741
1300,1301,2022 Paris World Challenge Cup,USA,qual,VT,2.0,14.1,669,JORDAN CHILES,-0.0012136150234741
1301,1302,2022 Paris World Challenge Cup,USA,qual,VT,2.0,13.8,669,JORDAN CHILES,-0.0012136150234741
1302,1303,2022 Paris World Challenge Cup,USA,final,VT,2.0,13.9,669,JORDAN CHILES,-0.0012136150234741
1303,1304,2022 U.S. Championships,USA,qual,BB,,13.6,700,JORDAN CHILES,-0.0014084507042253
1304,1305,2022 U.S. Championships,USA,final,BB,,13.45,700,JORDAN CHILES,-0.0014084507042253
1305,1306,2022 U.S. Championships,USA,qual,FX,,13.95,700,JORDAN CHILES,-0.0017605633802816
1306,1307,2022 U.S. Championships,USA,final,FX,,13.9,700,JORDAN CHILES,-0.0017605633802816
1307,1308,2022 U.S. Championships,USA,qual,UB,,14.25,700,JORDAN CHILES,-0.0003521126760563
1308,1309,2022 U.S. Championships,USA,final,UB,,14.1,700,JORDAN CHILES,-0.0003521126760563
1309,1310,2022 U.S. Championships,USA,qual,VT,,14.35,700,JORDAN CHILES,-0.0012136150234741
1310,1311,2022 U.S. Championships,USA,final,VT,,14.3,700,JORDAN CHILES,-0.0012136150234741
1311,1312,2023 Core Hydration Classic,USA,AAfinal,BB,13.0,12.8,335,JORDAN CHILES,-0.0014084507042253
1312,1313,2023 Core Hydration Classic,USA,AAfinal,UB,4.0,13.9,335,JORDAN CHILES,-0.0003521126760563
1313,1314,2023 U.S. Championships,USA,qual,BB,,13.0,335,JORDAN CHILES,-0.0014084507042253
1314,1315,2023 U.S. Championships,USA,final,BB,,12.1,335,JORDAN CHILES,-0.0014084507042253
1315,1316,2023 U.S. Championships,USA,qual,FX,,13.1,335,JORDAN CHILES,-0.0017605633802816
1316,1317,2023 U.S. Championships,USA,final,FX,,13.85,335,JORDAN CHILES,-0.0017605633802816
1317,1318,2023 U.S. Championships,USA,qual,UB,,14.2,335,JORDAN CHILES,-0.0003521126760563
1318,1319,2023 U.S. Championships,USA,final,UB,,12.95,335,JORDAN CHILES,-0.0003521126760563
1319,1320,2023 U.S. Championships,USA,qual,VT,,14.3,335,JORDAN CHILES,-0.0012136150234741
1320,1321,2023 U.S. Championships,USA,final,VT,,14.25,335,JORDAN CHILES,-0.0012136150234741
1321,1322,SANTIAGO 2023 XIX Pan American Games,USA,AAfinal,BB,2.0,13.466,274,JORDAN CHILES,-0.0014084507042253
1322,1323,SANTIAGO 2023 XIX Pan American Games,USA,qual,BB,7.0,13.0,274,JORDAN CHILES,-0.0014084507042253
1323,1324,SANTIAGO 2023 XIX Pan American Games,USA,AAfinal,FX,2.0,13.533,274,JORDAN CHILES,-0.0017605633802816
1324,1325,SANTIAGO 2023 XIX Pan American Games,USA,qual,FX,6.0,13.2,274,JORDAN CHILES,-0.0017605633802816
1325,1326,SANTIAGO 2023 XIX Pan American Games,USA,AAfinal,UB,6.0,12.7,274,JORDAN CHILES,-0.0003521126760563
1326,1327,SANTIAGO 2023 XIX Pan American Games,USA,final,UB,7.0,12.4,274,JORDAN CHILES,-0.0003521126760563
1327,1328,SANTIAGO 2023 XIX Pan American Games,USA,qual,UB,3.0,14.1,274,JORDAN CHILES,-0.0003521126760563
1328,1329,SANTIAGO 2023 XIX Pan American Games,USA,AAfinal,VT,1.0,14.3,274,JORDAN CHILES,-0.0012136150234741
1329,1330,SANTIAGO 2023 XIX Pan American Games,USA,qual,VT,2.0,14.366,274,JORDAN CHILES,-0.0012136150234741
1330,1331,SANTIAGO 2023 XIX Pan American Games,USA,final,VT,2.0,14.4,274,JORDAN CHILES,-0.0012136150234741
1331,1332,SANTIAGO 2023 XIX Pan American Games,USA,final,VT,2.0,13.9,274,JORDAN CHILES,-0.0012136150234741
1332,1333,SANTIAGO 2023 XIX Pan American Games,USA,qual,VT,2.0,13.833,274,JORDAN CHILES,-0.0012136150234741
1333,1334,2023 Core Hydration Classic,USA,AAfinal,BB,30.0,10.5,335,CHLOE CHO,0.0060773480662983
1334,1335,2023 Core Hydration Classic,USA,AAfinal,FX,18.0,12.25,335,CHLOE CHO,0.004696132596685
1335,1336,2023 Core Hydration Classic,USA,AAfinal,UB,30.0,10.95,335,CHLOE CHO,-0.0058011049723756
1336,1337,2023 Core Hydration Classic,USA,AAfinal,VT,,12.95,335,CHLOE CHO,0.0002762430939226
1337,1338,2023 Winter Cup,USA,AAfinal,BB,30.0,9.4,516,CHLOE CHO,0.0060773480662983
1338,1339,2023 Winter Cup,USA,AAfinal,FX,26.0,11.4,516,CHLOE CHO,0.004696132596685
1339,1340,2023 Winter Cup,USA,AAfinal,UB,19.0,12.0,516,CHLOE CHO,-0.0058011049723756
1340,1341,2023 Winter Cup,USA,AAfinal,VT,,12.9,516,CHLOE CHO,0.0002762430939226
1345,1346,2023 Core Hydration Classic,USA,AAfinal,BB,30.0,10.5,335,NORAH CHRISTIAN,0.0005524861878453
1346,1347,2023 Core Hydration Classic,USA,AAfinal,FX,24.0,11.1,335,NORAH CHRISTIAN,-0.0019337016574585
1347,1348,2023 Core Hydration Classic,USA,AAfinal,UB,16.0,12.9,335,NORAH CHRISTIAN,0.0093922651933701
1348,1349,2023 Core Hydration Classic,USA,AAfinal,VT,,12.9,335,NORAH CHRISTIAN,0.005524861878453
1349,1350,2023 Winter Cup,USA,AAfinal,BB,27.0,10.4,516,NORAH CHRISTIAN,0.0005524861878453
1350,1351,2023 Winter Cup,USA,AAfinal,FX,24.0,11.45,516,NORAH CHRISTIAN,-0.0019337016574585
1351,1352,2023 Winter Cup,USA,AAfinal,UB,28.0,11.2,516,NORAH CHRISTIAN,0.0093922651933701
1352,1353,2023 Winter Cup,USA,AAfinal,VT,,11.9,516,NORAH CHRISTIAN,0.005524861878453
