,Unnamed: 0,Country,Competition,Round,Location,Apparatus,Rank,Score,days_till_paris,names,rate_of_change,average_apparatus_rank
50,259,GBR,2022 Senior European Championships,TeamFinal,"Munich, Germany",BB,4.0,13.7,700,ONDINE ACHAMPONG,0.002063752276867029,0.0
51,260,GBR,2022 Senior European Championships,qual,"Munich, Germany",FX,25.0,12.666,700,ONDINE ACHAMPONG,0.000666666666666666,12.454545454545455
52,261,GBR,2022 Senior European Championships,qual,"Munich, Germany",UB,43.0,12.233,700,ONDINE ACHAMPONG,-0.000304189435336976,18.5
53,262,GBR,2022 Senior European Championships,TeamFinal,"Munich, Germany",UB,24.0,12.433,700,ONDINE ACHAMPONG,-0.000304189435336976,18.5
54,263,GBR,2022 Senior European Championships,qual,"Munich, Germany",VT,4.0,13.933,700,ONDINE ACHAMPONG,9.107468123861697e-05,0.0
55,264,GBR,2022 Senior European Championships,TeamFinal,"Munich, Germany",VT,7.0,13.9,700,ONDINE ACHAMPONG,9.107468123861697e-05,0.0
56,265,GBR,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,"Antwerp, Belgium",BB,5.0,13.6,304,ONDINE ACHAMPONG,0.002063752276867029,0.0
57,266,GBR,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",BB,16.0,13.433,304,ONDINE ACHAMPONG,0.002063752276867029,0.0
58,267,GBR,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,"Antwerp, Belgium",BB,,13.933,304,ONDINE ACHAMPONG,0.002063752276867029,0.0
59,268,GBR,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,"Antwerp, Belgium",FX,17.0,12.7,304,ONDINE ACHAMPONG,0.000666666666666666,12.454545454545455
60,269,GBR,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",FX,33.0,12.866,304,ONDINE ACHAMPONG,0.000666666666666666,12.454545454545455
61,270,GBR,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,"Antwerp, Belgium",UB,20.0,12.533,304,ONDINE ACHAMPONG,-0.000304189435336976,18.5
62,271,GBR,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",UB,56.0,12.733,304,ONDINE ACHAMPONG,-0.000304189435336976,18.5
63,272,GBR,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,"Antwerp, Belgium",VT,4.0,14.133,304,ONDINE ACHAMPONG,9.107468123861697e-05,0.0
64,273,GBR,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,"Antwerp, Belgium",VT,,14.166,304,ONDINE ACHAMPONG,9.107468123861697e-05,0.0
65,274,GBR,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",VT,9.0,14.3,304,ONDINE ACHAMPONG,9.107468123861697e-05,0.0
66,275,GBR,2023 British Gymnastics Championships,final,"Liverpool, England",BB,1.0,13.8,488,ONDINE ACHAMPONG,0.002063752276867029,0.0
67,276,GBR,2023 British Gymnastics Championships,qual,"Liverpool, England",BB,2.0,13.8,488,ONDINE ACHAMPONG,0.002063752276867029,0.0
68,277,GBR,2023 British Gymnastics Championships,final,"Liverpool, England",FX,8.0,11.95,488,ONDINE ACHAMPONG,0.000666666666666666,12.454545454545455
69,278,GBR,2023 British Gymnastics Championships,qual,"Liverpool, England",FX,4.0,13.2,488,ONDINE ACHAMPONG,0.000666666666666666,12.454545454545455
70,279,GBR,2023 British Gymnastics Championships,final,"Liverpool, England",UB,5.0,14.1,488,ONDINE ACHAMPONG,-0.000304189435336976,18.5
71,280,GBR,2023 British Gymnastics Championships,qual,"Liverpool, England",UB,2.0,13.7,488,ONDINE ACHAMPONG,-0.000304189435336976,18.5
72,281,GBR,2023 British Gymnastics Championships,qual,"Liverpool, England",VT,16.0,14.3,488,ONDINE ACHAMPONG,9.107468123861697e-05,0.0
73,282,GBR,2023 Senior European Championships,final,"Antalya, Turkey",BB,4.0,13.533,457,ONDINE ACHAMPONG,0.002063752276867029,0.0
74,283,GBR,2023 Senior European Championships,qual,"Antalya, Turkey",BB,4.0,13.366,457,ONDINE ACHAMPONG,0.002063752276867029,0.0
75,284,GBR,2023 Senior European Championships,qual,"Antalya, Turkey",FX,8.0,13.166,457,ONDINE ACHAMPONG,0.000666666666666666,12.454545454545455
76,285,GBR,2023 Senior European Championships,qual,"Antalya, Turkey",VT,6.0,13.966,457,ONDINE ACHAMPONG,9.107468123861697e-05,0.0
77,286,ENG,BIRMINGHAM 2022 Commonwealth Games,AAfinal,"Birmingham, England",BB,4.0,12.5,731,ONDINE ACHAMPONG,0.002063752276867029,0.0
78,287,ENG,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",BB,4.0,13.3,731,ONDINE ACHAMPONG,0.002063752276867029,0.0
79,288,ENG,BIRMINGHAM 2022 Commonwealth Games,AAfinal,"Birmingham, England",FX,1.0,13.35,731,ONDINE ACHAMPONG,0.000666666666666666,12.454545454545455
80,289,ENG,BIRMINGHAM 2022 Commonwealth Games,final,"Birmingham, England",FX,2.0,13.033,731,ONDINE ACHAMPONG,0.000666666666666666,12.454545454545455
81,290,ENG,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",FX,11.0,12.55,731,ONDINE ACHAMPONG,0.000666666666666666,12.454545454545455
82,291,ENG,BIRMINGHAM 2022 Commonwealth Games,AAfinal,"Birmingham, England",UB,3.0,13.25,731,ONDINE ACHAMPONG,-0.000304189435336976,18.5
83,292,ENG,BIRMINGHAM 2022 Commonwealth Games,final,"Birmingham, England",UB,4.0,13.433,731,ONDINE ACHAMPONG,-0.000304189435336976,18.5
84,293,ENG,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",UB,2.0,13.75,731,ONDINE ACHAMPONG,-0.000304189435336976,18.5
85,294,ENG,BIRMINGHAM 2022 Commonwealth Games,AAfinal,"Birmingham, England",VT,1.0,13.9,731,ONDINE ACHAMPONG,9.107468123861697e-05,0.0
86,296,CHI,2022 Osijek World Challenge Cup,qual,"Osijek, Croatia",FX,13.0,11.933,761,BARBARA ACHONDO ANDINO,0.0014373716632443518,0.0
87,297,CHI,2023 Artistic Gymnastics Senior Pan American Championships,TeamQual,"Medellin, Colombia",BB,,10.933,427,BARBARA ACHONDO ANDINO,0.0006535947712418277,0.0
88,298,CHI,2023 Artistic Gymnastics Senior Pan American Championships,TeamQual,"Medellin, Colombia",FX,,12.3,427,BARBARA ACHONDO ANDINO,0.0014373716632443518,0.0
89,299,CHI,2023 Artistic Gymnastics Senior Pan American Championships,TeamQual,"Medellin, Colombia",UB,,10.733,427,BARBARA ACHONDO ANDINO,0.0045751633986928055,0.0
90,300,CHI,SANTIAGO 2023 XIX Pan American Games,AAfinal,"Santiago, Chile",BB,17.0,11.1,274,BARBARA ACHONDO ANDINO,0.0006535947712418277,0.0
91,301,CHI,SANTIAGO 2023 XIX Pan American Games,qual,"Santiago, Chile",BB,31.0,11.033,274,BARBARA ACHONDO ANDINO,0.0006535947712418277,0.0
92,302,CHI,SANTIAGO 2023 XIX Pan American Games,AAfinal,"Santiago, Chile",FX,10.0,12.333,274,BARBARA ACHONDO ANDINO,0.0014373716632443518,0.0
93,303,CHI,SANTIAGO 2023 XIX Pan American Games,final,"Santiago, Chile",FX,8.0,12.2,274,BARBARA ACHONDO ANDINO,0.0014373716632443518,0.0
94,304,CHI,SANTIAGO 2023 XIX Pan American Games,qual,"Santiago, Chile",FX,10.0,12.633,274,BARBARA ACHONDO ANDINO,0.0014373716632443518,0.0
95,305,CHI,SANTIAGO 2023 XIX Pan American Games,AAfinal,"Santiago, Chile",UB,24.0,8.266,274,BARBARA ACHONDO ANDINO,0.0045751633986928055,0.0
96,306,CHI,SANTIAGO 2023 XIX Pan American Games,qual,"Santiago, Chile",UB,26.0,11.433,274,BARBARA ACHONDO ANDINO,0.0045751633986928055,0.0
97,307,CHI,SANTIAGO 2023 XIX Pan American Games,AAfinal,"Santiago, Chile",VT,24.0,11.4,274,BARBARA ACHONDO ANDINO,0,34.5
98,308,CHI,SANTIAGO 2023 XIX Pan American Games,qual,"Santiago, Chile",VT,45.0,11.366,274,BARBARA ACHONDO ANDINO,0,34.5
99,322,ISL,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",BB,69.0,11.6,639,THELMA ADALSTEINSDOTTIR,-0.0002525252525252561,57.5
100,323,ISL,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,127.0,11.433,639,THELMA ADALSTEINSDOTTIR,0.003452020202020204,89.5
101,324,ISL,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",UB,108.0,11.033,639,THELMA ADALSTEINSDOTTIR,0.001093434343434343,74.5
102,325,ISL,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT,126.0,12.066,639,THELMA ADALSTEINSDOTTIR,-8.3333333333332e-05,103.0
103,326,ISL,2022 Senior European Championships,qual,"Munich, Germany",BB,35.0,12.233,700,THELMA ADALSTEINSDOTTIR,-0.0002525252525252561,57.5
104,327,ISL,2022 Senior European Championships,qual,"Munich, Germany",FX,91.0,11.133,700,THELMA ADALSTEINSDOTTIR,0.003452020202020204,89.5
105,328,ISL,2022 Senior European Championships,qual,"Munich, Germany",UB,57.0,11.733,700,THELMA ADALSTEINSDOTTIR,0.001093434343434343,74.5
106,329,ISL,2022 Senior European Championships,qual,"Munich, Germany",VT,69.0,12.333,700,THELMA ADALSTEINSDOTTIR,-8.3333333333332e-05,103.0
107,330,ISL,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",BB,69.0,12.133,304,THELMA ADALSTEINSDOTTIR,-0.0002525252525252561,57.5
108,331,ISL,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",FX,62.0,12.5,304,THELMA ADALSTEINSDOTTIR,0.003452020202020204,89.5
109,332,ISL,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",UB,79.0,12.166,304,THELMA ADALSTEINSDOTTIR,0.001093434343434343,74.5
110,333,ISL,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",VT,135.0,12.3,304,THELMA ADALSTEINSDOTTIR,-8.3333333333332e-05,103.0
111,334,ISL,2023 Senior European Championships,qual,"Antalya, Turkey",BB,57.0,11.166,457,THELMA ADALSTEINSDOTTIR,-0.0002525252525252561,57.5
112,335,ISL,2023 Senior European Championships,qual,"Antalya, Turkey",FX,78.0,11.566,457,THELMA ADALSTEINSDOTTIR,0.003452020202020204,89.5
113,336,ISL,2023 Senior European Championships,qual,"Antalya, Turkey",UB,54.0,12.233,457,THELMA ADALSTEINSDOTTIR,0.001093434343434343,74.5
114,337,ISL,2023 Senior European Championships,qual,"Antalya, Turkey",VT,82.0,12.3,457,THELMA ADALSTEINSDOTTIR,-8.3333333333332e-05,103.0
115,338,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",BB,54.0,9.7,853,JESS ADAMSON,0,54.0
116,339,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",FX,52.0,10.45,853,JESS ADAMSON,0,52.0
117,340,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",UB,24.0,11.3,853,JESS ADAMSON,0,24.0
118,341,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",VT,44.0,12.0,853,JESS ADAMSON,0,44.0
119,486,DOM,2023 Artistic Gymnastics Senior Pan American Championships,TeamQual,"Medellin, Colombia",VT,,12.033,427,NASHELY ESMERALDA ALBA RODRIGUEZ,0,0.0
120,487,JOR,2023 Cairo World Cup,qual,"Cairo, Egypt",VT,23.0,11.8,457,RUBA ALDAOUD,0,23.0
121,488,JOR,2023 Cairo World Cup,qual,"Cairo, Egypt",VT,23.0,10.166,457,RUBA ALDAOUD,0,23.0
122,576,PUR,SANTIAGO 2023 XIX Pan American Games,qual,"Santiago, Chile",BB,48.0,8.6,274,KATYNA ALICEA,0,48.0
123,577,PUR,2023 Artistic Gymnastics Senior Pan American Championships,TeamFinal,"Medellin, Colombia",FX,,11.3,427,KATYNA KAMILA ALICEA CARDONA,0,0.0
124,578,PUR,2023 Artistic Gymnastics Senior Pan American Championships,TeamQual,"Medellin, Colombia",FX,,11.233,427,KATYNA KAMILA ALICEA CARDONA,0,0.0
125,579,PUR,2023 Artistic Gymnastics Senior Pan American Championships,TeamFinal,"Medellin, Colombia",UB,,10.4,427,KATYNA KAMILA ALICEA CARDONA,0,0.0
126,580,PUR,2023 Artistic Gymnastics Senior Pan American Championships,TeamFinal,"Medellin, Colombia",VT,,11.267,427,KATYNA KAMILA ALICEA CARDONA,0,0.0
127,585,USA,2022 U.S. Championships,qual,"Tampa, FL",BB,,13.6,700,CIENA ALIPIO,0.009392265193370162,0.0
128,586,USA,2022 U.S. Championships,final,"Tampa, FL",BB,,13.95,700,CIENA ALIPIO,0.009392265193370162,0.0
129,587,USA,2022 U.S. Championships,qual,"Tampa, FL",FX,,11.95,700,CIENA ALIPIO,-0.0027624309392265192,0.0
130,588,USA,2022 U.S. Championships,final,"Tampa, FL",FX,,11.35,700,CIENA ALIPIO,-0.0027624309392265192,0.0
131,589,USA,2022 U.S. Championships,qual,"Tampa, FL",UB,,12.35,700,CIENA ALIPIO,-0.0024861878453038733,0.0
132,590,USA,2022 U.S. Championships,final,"Tampa, FL",UB,,12.45,700,CIENA ALIPIO,-0.0024861878453038733,0.0
133,591,USA,2022 U.S. Championships,qual,"Tampa, FL",VT,,11.95,700,CIENA ALIPIO,0.0,0.0
134,592,USA,2022 U.S. Championships,final,"Tampa, FL",VT,,13.2,700,CIENA ALIPIO,0.0,0.0
135,593,USA,2022 U.S. Classic,AAfinal,"West Valley City, Utah",BB,12.0,11.4,731,CIENA ALIPIO,0.009392265193370162,0.0
136,594,USA,2022 U.S. Classic,AAfinal,"West Valley City, Utah",FX,6.0,12.2,731,CIENA ALIPIO,-0.0027624309392265192,0.0
137,595,USA,2022 U.S. Classic,AAfinal,"West Valley City, Utah",UB,11.0,12.45,731,CIENA ALIPIO,-0.0024861878453038733,0.0
138,596,USA,2022 U.S. Classic,AAfinal,"West Valley City, Utah",VT,,13.3,731,CIENA ALIPIO,0.0,0.0
139,597,USA,2022 Winter Cup,AAfinal,"Frisco, Texas",BB,17.0,12.25,881,CIENA ALIPIO,0.009392265193370162,0.0
140,598,USA,2022 Winter Cup,AAfinal,"Frisco, Texas",FX,19.0,11.85,881,CIENA ALIPIO,-0.0027624309392265192,0.0
141,599,USA,2022 Winter Cup,AAfinal,"Frisco, Texas",UB,11.0,12.9,881,CIENA ALIPIO,-0.0024861878453038733,0.0
142,600,USA,2022 Winter Cup,AAfinal,"Frisco, Texas",VT,,13.2,881,CIENA ALIPIO,0.0,0.0
143,640,PUR,SANTIAGO 2023 XIX Pan American Games,qual,"Santiago, Chile",BB,22.0,11.566,274,ALEJANDRA ALVAREZ DIAZ,0,22.0
144,641,PUR,SANTIAGO 2023 XIX Pan American Games,qual,"Santiago, Chile",FX,44.0,10.4,274,ALEJANDRA ALVAREZ DIAZ,0,44.0
145,642,PUR,SANTIAGO 2023 XIX Pan American Games,qual,"Santiago, Chile",UB,37.0,10.933,274,ALEJANDRA ALVAREZ DIAZ,0,37.0
146,643,PUR,SANTIAGO 2023 XIX Pan American Games,AAfinal,"Santiago, Chile",BB,24.0,9.133,274,ALEJANDRA SOFIA ALVAREZ DIAZ,0,24.0
147,644,PUR,SANTIAGO 2023 XIX Pan American Games,AAfinal,"Santiago, Chile",FX,23.0,11.266,274,ALEJANDRA SOFIA ALVAREZ DIAZ,0,23.0
148,645,PUR,SANTIAGO 2023 XIX Pan American Games,AAfinal,"Santiago, Chile",UB,21.0,10.6,274,ALEJANDRA SOFIA ALVAREZ DIAZ,0,21.0
149,646,PUR,SANTIAGO 2023 XIX Pan American Games,AAfinal,"Santiago, Chile",VT,17.0,12.633,274,ALEJANDRA SOFIA ALVAREZ DIAZ,0,23.0
150,647,PUR,SANTIAGO 2023 XIX Pan American Games,qual,"Santiago, Chile",VT,29.0,12.533,274,ALEJANDRA SOFIA ALVAREZ DIAZ,0,23.0
151,662,JAM,2023 Artistic Gymnastics Senior Pan American Championships,TeamQual,"Medellin, Colombia",BB,,8.6,427,JULIANA MYA AMEDE ABSOLAM,0,0.0
152,663,JAM,2023 Artistic Gymnastics Senior Pan American Championships,TeamQual,"Medellin, Colombia",FX,,10.567,427,JULIANA MYA AMEDE ABSOLAM,0,0.0
153,664,JAM,2023 Artistic Gymnastics Senior Pan American Championships,TeamQual,"Medellin, Colombia",UB,,10.033,427,JULIANA MYA AMEDE ABSOLAM,0,0.0
154,665,JAM,2023 Artistic Gymnastics Senior Pan American Championships,TeamQual,"Medellin, Colombia",VT,,10.333,427,JULIANA MYA AMEDE ABSOLAM,0,0.0
155,666,MGL,2022 9th Senior Artistic Gymnastics Asian Championships,qual,"Doha, Qatar",BB,38.0,8.933,761,NAMUUNAA AMGALAN,0,38.0
156,667,MGL,2022 9th Senior Artistic Gymnastics Asian Championships,qual,"Doha, Qatar",FX,38.0,9.467,761,NAMUUNAA AMGALAN,0,38.0
157,668,GBR,2023 British Gymnastics Championships,qual,"Liverpool, England",BB,22.0,11.5,488,MEI AMORELLI,0,22.0
158,669,GBR,2023 British Gymnastics Championships,qual,"Liverpool, England",FX,31.0,11.0,488,MEI AMORELLI,0,31.0
159,670,GBR,2023 British Gymnastics Championships,qual,"Liverpool, England",UB,35.0,9.9,488,MEI AMORELLI,0,35.0
160,671,GBR,2023 British Gymnastics Championships,qual,"Liverpool, England",VT,30.0,12.1,488,MEI AMORELLI,0,30.0
161,672,UZB,2022 9th Senior Artistic Gymnastics Asian Championships,qual,"Doha, Qatar",BB,25.0,11.167,761,LOBAR AMRILLAEVA,-0.0019205479452054808,26.25
162,673,UZB,2022 9th Senior Artistic Gymnastics Asian Championships,qual,"Doha, Qatar",FX,22.0,11.267,761,LOBAR AMRILLAEVA,0.004016438356164387,18.25
163,674,UZB,2022 9th Senior Artistic Gymnastics Asian Championships,qual,"Doha, Qatar",UB,30.0,9.633,761,LOBAR AMRILLAEVA,0.0022821917808219182,26.5
164,675,UZB,2023 10th Senior Artistic Gymnastics Asian Championships,qual,Singapore,BB,37.0,10.466,396,LOBAR AMRILLAEVA,-0.0019205479452054808,26.25
165,676,UZB,2023 10th Senior Artistic Gymnastics Asian Championships,qual,Singapore,FX,12.0,12.733,396,LOBAR AMRILLAEVA,0.004016438356164387,18.25
166,677,UZB,2023 10th Senior Artistic Gymnastics Asian Championships,qual,Singapore,UB,32.0,10.466,396,LOBAR AMRILLAEVA,0.0022821917808219182,26.5
167,678,UZB,2023 Baku World Cup,qual,"Baku, Azerbaijan",BB,17.0,12.1,488,LOBAR AMRILLAEVA,-0.0019205479452054808,26.25
168,679,UZB,2023 Baku World Cup,qual,"Baku, Azerbaijan",FX,21.0,11.966,488,LOBAR AMRILLAEVA,0.004016438356164387,18.25
169,680,UZB,2023 Baku World Cup,qual,"Baku, Azerbaijan",UB,28.0,9.9,488,LOBAR AMRILLAEVA,0.0022821917808219182,26.5
170,681,UZB,2023 Varna World Challenge Cup,qual,"Varna, Bulgaria",BB,26.0,10.233,427,LOBAR AMRILLAEVA,-0.0019205479452054808,26.25
171,682,UZB,2023 Varna World Challenge Cup,qual,"Varna, Bulgaria",FX,18.0,10.933,427,LOBAR AMRILLAEVA,0.004016438356164387,18.25
172,683,UZB,2023 Varna World Challenge Cup,qual,"Varna, Bulgaria",UB,16.0,10.433,427,LOBAR AMRILLAEVA,0.0022821917808219182,26.5
173,684,UZB,2023 Varna World Challenge Cup,qual,"Varna, Bulgaria",VT,9.0,12.366,427,LOBAR AMRILLAEVA,0,9.0
174,685,UZB,2023 Varna World Challenge Cup,qual,"Varna, Bulgaria",VT,9.0,12.133,427,LOBAR AMRILLAEVA,0,9.0
